College,District,University,Course,Student Count
"C B M College, Coimbatore",Coimbatore,Bharathiar University,EV Battery Management,9
"Government Arts And Science College, Sathyamangalam",Erode,Bharathiar University,EV Battery Management,30
Shree Venkateshwara Arts & Science (Co-Education) College,Erode,Bharathiar University,EV Battery Management,16
"Navarasam Arts And Science College For Women, Arachalur",Erode,Bharathiar University,EV Battery Management,7
Government Arts & Science College (Co-Education) Dharapuram,Tiruppur,Bharathiar University,EV Battery Management,25
"Government Arts And Science College, Avinashi",Tiruppur,Bharathiar University,EV Battery Management,19
"Meenakshi Ammal Arts And Science College, Uthiramerur",Kancheepuram,University Of Madras,EV Battery Management,20
"Kanchi Shri Krishna College Of Arts And Science, Kilambi - 631 551.",Kancheepuram,University Of Madras,EV Battery Management,38
Aksheyaa College Of Arts And Science,Chengalpattu,University Of Madras,EV Battery Management,55
C.Kandaswami Naidu College For Men,Chennai,University Of Madras,EV Battery Management,38
"Puratchi Thalaivar Dr. Mgr Govt.Arts And Science College, Uthiramerur - 603 406.",Kancheepuram,University Of Madras,EV Battery Management,49
"S.I.V.E.T. College Gowriwakkam , Chennai - 600 073",Chengalpattu,University Of Madras,EV Battery Management,49
"Peri College Of Arts And Science (Co-Edu) Mannivakkam Village, West Tambaram, Chennai - 600 048",Chengalpattu,University Of Madras,EV Battery Management,8
"Sir Theagaraya College, (Shift - I )",Chennai,University Of Madras,EV Battery Management,47
"Anna Adarsh College For Women, Annanagar, Chennai - 600 040.",Chennai,University Of Madras,EV Battery Management,38
"Bhaktavatsalam Memorial College For Women, Korattur-600 080.",Chennai,University Of Madras,EV Battery Management,6
"Pachaiyappa'S College For Women, Kanchipuram-631503",Kancheepuram,University Of Madras,EV Battery Management,50
"Chellammal Women'S College, Guindy, Chennai - 600 032.",Chennai,University Of Madras,EV Battery Management,43
Queen Mary'S College,Chennai,University Of Madras,EV Battery Management,43
"Agurchand Manmull Jain College, Chennai",Chengalpattu,University Of Madras,EV Battery Management,44
"Pachaiyappa'S College For Men, Kancheepuram - 631 501",Kancheepuram,University Of Madras,EV Battery Management,50
Dr. Ambedkar Government Arts College Vyasarpadi Chennai,Chennai,University Of Madras,EV Battery Management,51
"Chevalier T. Thomas Elizabeth College For (W), Sembium, Chennai-600 011.",Chennai,University Of Madras,EV Battery Management,12
"Thiruthangal Nadar College, Selavayal, Chennai-600 051.",Chennai,University Of Madras,EV Battery Management,13
Govt. Arts College For Men Nandhanam,Chennai,University Of Madras,EV Battery Management,54
Quaid-E-Millath Govt. College For Women (Autonomous),Chennai,University Of Madras,EV Battery Management,54
"R.V.Government Arts College, Gst Road, Chengalpattu - 603 001.",Chengalpattu,University Of Madras,EV Battery Management,72
"Apollo Arts And Science College, Kalvoy Village, Guduvanchery , Chennai - 631 108",Chengalpattu,University Of Madras,EV Battery Management,13
"Pachaiyappa'S College For Men, Chennai - 600 030.",Chennai,University Of Madras,EV Battery Management,65
Bharathi Women'S College,Chennai,University Of Madras,EV Battery Management,100
Presidency College,Chennai,University Of Madras,EV Battery Management,91
L.N. Government College Ponneri,Tiruvallur,University Of Madras,EV Battery Management,163
"Shree Chandraprabhu Jain College, Minjur-601 203.",Tiruvallur,University Of Madras,EV Battery Management,10
"Dhanalakshmi Srinivasan Arts And Science (Co- Education) College, Mammallapuram",Chengalpattu,University Of Madras,EV Battery Management,45
Annai Thereasa Arts & Science College Thirukazhukundaram - 603 109.,Chengalpattu,University Of Madras,EV Battery Management,19
Lakshmi Bangaru Arts And Science College,Chengalpattu,University Of Madras,EV Battery Management,23
Dharmamurthi Rao Bahadur Calavala Cunnan Chettys Hindu College,Chennai,University Of Madras,EV Battery Management,37
Jaya College Of Arts And Science Thiruninravur - 602 024.,Chennai,University Of Madras,EV Battery Management,17
"Apollo Arts And Science College, Kancheepuram Dist 602105",Kancheepuram,University Of Madras,EV Battery Management,17
Govt Arts And Science College Perumbakkam,Chengalpattu,University Of Madras,EV Battery Management,29
"C.M. Annamalai Arts And Science College For Women, Vellathur Village, Thiruvallur - 631 303",Tiruvallur,University Of Madras,EV Battery Management,7
"Thalapathy K. Vinayakam Women'S Arts And Science, Thiruvallur Dist - 631209",Tiruvallur,University Of Madras,EV Battery Management,19
"E.S. Subramaniam Memorial Arts & Sceince College, Podhattoorpet, Thiruvallur - 631 208.",Tiruvallur,University Of Madras,EV Battery Management,13
Annai Violet Arts And Science College,Chennai,University Of Madras,EV Battery Management,17
"Sri Ram College Of Arts And Science,Perumalpattu, Tiruvallur Dt.",Tiruvallur,University Of Madras,EV Battery Management,32
"Mohamed Sathak College Of Arts & Science, Sholinganallur",Chengalpattu,University Of Madras,EV Battery Management,20
"Vidhyasagar Womens College Of Arts & Science, Chengalpattu",Chengalpattu,University Of Madras,EV Battery Management,21
